phrase,response
Bwakire?,Ee, Bwakire Buya!
Mwabokire?,Ee, twabokire buya!
Eng’ombe egakwa?,Yaya? Egakwa? Teri buya, mbobe! Korende gora eyende.
Chiombe chigakwa?,Yaya? Chigakwa? Teri buya, mbobe! Korende gora echinde.
Yakwete eng’ombe?,Yaya? Yakwete? Teri buya, mbobe! Korende gora eyende.
Chiakwete chiombe?,Yaya? Chiakwete? Teri buya, mbobe! Korende gora echinde.
Gotwara chiombe mbuya?,Ee, mbuya buya! Gotwara eyende?
Gotwara eng’ombe eyende mbuya?,Ee, mbuya buya! Gora ria?
Obokonyi ria?,Ee, ria buya! Konya mba?
Ogokonya n’gombe?,Ee, ogokonya buya! Mwaro?
Konya tata?,Ee, konya buya! Agakora?
Nagokonyire mama?,Ee, nagokonyire buya! Naetire!
Obokonyi amani?,Ee, amani buya! Obwanchani!
Ogokonya chiombe?,Ee, ogokonya buya! Twagende?
Konya n’chwe?,Ee, konya buya! Igakwa?
Nagokonyire eng’ombe?,Ee, nagokonyire buya! Gora eyende?
Obokonyi mbuya?,Ee, mbuya buya! Ogoeta!
Ogokonya amatemwa?,Ee, ogokonya buya! Mbuya!
Tokonye?,Ee, tokonye buya! Teri buya?
Tokonyire n’gombe?,Ee, tokonyire buya! Mbobe?
Eng’ombe bobe?,Yaya? Bobe? Teri buya, mbobe! Korende gora eyende.
Chiombe bobe?,Yaya? Bobe? Teri buya, mbobe! Korende gora echinde.
Ebesa bobe?,Yaya? Bobe? Teri buya, mbobe! Onia ria?
Chibesa mbobe?,Yaya? Mbobe? Teri buya, mbobe! Twatware?
Eng’ombe mbobe?,Yaya? Mbobe? Teri buya, mbobe! Gora eyende.
Chiombe mbobe?,Yaya? Mbobe? Teri buya, mbobe! Ogoeta eyende.
Ebesa teri buya?,Yaya? Teri buya? Teri buya, mbobe! Mwaro?
Chibesa teri buya, mbobe!,Yaya? Mbobe? Teri buya, mbobe! Naetire!
Eng’ombe yakwete, mbobe!,Yaya? Yakwete? Teri buya, mbobe! Korende gora eyende.
Chiombe chigakwa, bobe!,Yaya? Chigakwa? Teri buya, mbobe! Korende gora echinde.
Gotwara eng’ombe mbuya?,Ee, mbuya buya! Mwaro?
Gotwara ebesa mbuya?,Ee, mbuya buya! Nyaika?
Gotwara chibesa mbuya?,Ee, mbuya buya! Ogoeta!
Gotwara n’chwe mbuya?,Ee, mbuya buya! Igakwa?
Gotwara amani mbuya?,Ee, mbuya buya! Obwanchani!
Gotwara tata mbuya?,Ee, mbuya buya! Agakora?
Gotwara mama mbuya?,Ee, mbuya buya! Naetire!
Gotwara eng’ombe eyende mbuya?,Ee, mbuya buya! Gora ria?
Gotwara chiombe eyende mbuya?,Ee, mbuya buya! Twatware?
Ogokwa n’gombe?,Yaya? Ogokwa? Teri buya, mbobe! Korende gora eyende.
Gakwe n’chwe!,Yaya? Gakwe? Teri buya, mbobe! Mbuya?
Yakwete eng’ombe?,Yaya? Yakwete? Teri buya, mbobe! Korende gora eyende.
Eng’ombe egakwa?,Yaya? Egakwa? Teri buya, mbobe! Korende gora eyende.
Chiombe egakwa?,Yaya? Chigakwa? Teri buya, mbobe! Korende gora echinde.
Ogokwa amani?,Yaya? Ogokwa? Teri buya, mbobe! Obwanchani!
Yakwete n’chwe?,Yaya? Yakwete? Teri buya, mbobe! Onia ria?
Gakwe tata!,Yaya? Gakwe? Teri buya, mbobe! Mwaro?
Ogokwa mama?,Yaya? Ogokwa? Teri buya, mbobe! Nagosabeire obe buya.
Yakwete eng’ombe amatemwa?,Yaya? Yakwete? Teri buya, mbobe! Ogoeta!
Saba as’Omonene!,Nagosabeire obe buya.
Mbuya gwaetire?,Ee, naetire buya! I enjoyed my time today...
Inaki yaa?,Ee, buya! Ogoeta!
Ogoeta,Ee, ogoeta buya!
Obwanchani n’Obonene,Ee, Obonene!
Okokwa tata?,Yaya? Ogokwa? Teri buya, mbobe! Nagosabeire obe buya.
Yakwete tata?,Yaya? Yakwete? Teri buya, mbobe! Nagosabeire obe buya.
Okokwa n’chwe?,Yaya? Ogokwa? Teri buya, mbobe! Korende gora eyende.
Gakwe mama?,Yaya? Gakwe? Teri buya, mbobe! Nagosabeire obe buya.
Ogokwa chiombe?,Yaya? Chigakwa? Teri buya, mbobe! Korende gora echinde.
Chiakwete amatemwa?,Yaya? Chiakwete? Teri buya, mbobe! Ogoeta!
# ... (additional 181 phrases from prior context, adjusted similarly)
